Loss,Accuracy,Batch
1.0586745,0.6985177,10
0.7416111,0.77426267,20
0.6329432,0.7928296,30
0.64251274,0.77379376,40
0.61583024,0.8007313,50
0.7070494,0.76293045,60
0.5525542,0.7883608,70
0.5854485,0.7711041,80
0.6582331,0.7450544,90
0.6230785,0.7723007,100
0.5568928,0.79823023,110
0.5321922,0.76866144,120
0.5860525,0.74129903,130
0.51998764,0.80033726,140
0.5377259,0.8054386,150
0.6766638,0.76309735,160
0.47130308,0.7990631,170
0.46389025,0.8049433,180
0.45205545,0.80431974,190
0.41669396,0.8347981,200
0.5874897,0.7571733,210
0.4703993,0.8134897,220
0.6540983,0.74811673,230
0.40235415,0.8423252,240
0.48512247,0.801567,250
0.449487,0.8242498,260
0.45721766,0.8200772,270
0.5339405,0.7785342,280
0.55634534,0.76680255,290
0.5800525,0.7522514,300
0.41645762,0.8439999,310
0.49687335,0.7963759,320
0.45113355,0.8066374,330
0.51080596,0.7865045,340
0.51284003,0.77887064,350
0.44671935,0.82434785,360
0.42463645,0.82076716,370
0.5349484,0.800572,380
0.44541943,0.8198902,390
0.49480507,0.79507023,400
0.520623,0.7890575,410
0.41975334,0.8332643,420
0.6085052,0.77054155,430
0.49859408,0.7847275,440
0.4160733,0.8293,450
0.39834088,0.8415192,460
0.4780987,0.8054008,470
0.44478858,0.81731313,480
0.47457644,0.8146524,490
0.39465275,0.8345543,500
0.47226858,0.80352557,510
0.38206187,0.8427483,520
0.38398436,0.8468771,530
0.42346668,0.83992064,540
0.43977168,0.81428456,550
0.41302803,0.8323929,560
0.39841157,0.8378868,570
0.50011045,0.79354626,580
0.4502241,0.820396,590
0.45113632,0.807004,600
0.3482038,0.863719,610
0.42484084,0.81973326,620
0.44960833,0.82690644,630
0.36042774,0.85651964,640
0.43299314,0.8195961,650
0.42651674,0.8265737,660
0.41181323,0.835407,670
0.41481593,0.83817667,680
0.39906552,0.84463906,690
0.4469239,0.8068155,700
0.4423088,0.8255376,710
0.36030722,0.8664392,720
0.37409016,0.8551988,730
0.430133,0.82943,740
0.40295503,0.83042437,750
0.39597827,0.8489368,760
0.44438922,0.81908995,770
0.43768662,0.8256651,780
0.48457116,0.80636495,790
0.4240224,0.83126485,800
0.4383194,0.8215881,810
0.38740492,0.84396815,820
0.47560966,0.8146196,830
0.40638736,0.8377858,840
0.413569,0.8374456,850
0.46383086,0.80840206,860
0.42916077,0.8330961,870
0.4105424,0.83412164,880
0.489028,0.7856802,890
0.47992018,0.80890393,900
0.43516538,0.82234883,910
0.4158412,0.82443637,920
0.4648054,0.82247806,930
0.46301395,0.80526316,940
0.45547724,0.8172796,950
0.37350842,0.8545976,960
0.39093503,0.84197515,970
0.44736108,0.81357133,980
0.43716452,0.8232695,990
0.39750502,0.833737,1000
0.3500554,0.8585226,1010
0.4864194,0.8044924,1020
0.44224995,0.82936263,1030
0.42102444,0.83646417,1040
0.4030075,0.83659494,1050
0.4326537,0.82544196,1060
0.4544526,0.812124,1070
0.50884205,0.79837304,1080
0.48635367,0.8128866,1090
0.38368246,0.85127807,1100
0.4093609,0.8307852,1110
0.3800803,0.850079,1120
0.37213853,0.85487175,1130
0.45231363,0.8198696,1140
0.4516436,0.8146648,1150
0.40088508,0.84218687,1160
0.45871857,0.8199722,1170
0.42592227,0.8324936,1180
0.47159088,0.814645,1190
0.4413371,0.8245848,1200
0.38232633,0.8479172,1210
0.42960003,0.82196975,1220
0.4594665,0.82308507,1230
0.38166693,0.84892106,1240
