Loss,Accuracy,Batch
0.4962476,0.76964164,10
0.41313198,0.79413414,20
0.38547307,0.8370049,30
0.32056645,0.8739374,40
0.23110487,0.9047001,50
0.2166422,0.91484284,60
0.23643567,0.90190595,70
0.17966361,0.9306336,80
0.19945474,0.9131108,90
0.20160285,0.9165888,100
0.196737,0.92133784,110
0.1721455,0.9273685,120
0.16118254,0.93603045,130
0.21048433,0.913536,140
0.1622676,0.9355572,150
0.19403939,0.91836524,160
0.18114732,0.92635846,170
0.18627392,0.9235173,180
0.31022418,0.8720888,190
0.19199939,0.9256161,200
0.17720646,0.92711145,210
0.17206468,0.9312729,220
0.17246267,0.927362,230
0.1692005,0.929552,240
0.15612887,0.9296215,250
0.1667283,0.9223866,260
0.17007847,0.9258867,270
0.18240532,0.9183891,280
0.15536977,0.9305273,290
0.15207893,0.9333881,300
0.15038326,0.93313974,310
0.1533352,0.9343344,320
0.1346179,0.9395576,330
0.1511247,0.9327406,340
0.13409589,0.9413284,350
0.15625247,0.9272217,360
0.15297844,0.9308824,370
0.15190318,0.92926157,380
0.16492201,0.9256844,390
0.15818654,0.9324318,400
0.15316609,0.92596036,410
0.15319473,0.93180734,420
0.15721874,0.92788565,430
0.14122929,0.9361032,440
0.14563774,0.9327303,450
0.16274796,0.9247124,460
0.14021014,0.9392702,470
0.16752078,0.9225105,480
0.14607407,0.93732876,490
0.1239484,0.9507395,500
0.13876472,0.9398458,510
0.13606302,0.94190925,520
0.12140589,0.95064455,530
0.13901047,0.9440546,540
0.11914842,0.9500787,550
0.14173779,0.94007486,560
0.14588827,0.93976724,570
0.14070722,0.94175833,580
0.1346141,0.94410187,590
0.11532051,0.952369,600
0.12485125,0.9498976,610
0.13454914,0.9444861,620
0.13444117,0.9425796,630
0.12510876,0.9498689,640
0.13236648,0.9441752,650
0.13200602,0.9455389,660
0.13739602,0.9412922,670
0.13395788,0.94373536,680
0.11771343,0.95566404,690
0.13923271,0.94083714,700
0.1346311,0.9418177,710
0.1182904,0.94987416,720
0.19060975,0.91691613,730
0.15512471,0.93481946,740
0.1550973,0.93489665,750
0.15605976,0.9336622,760
0.17114009,0.9245148,770
0.17002675,0.9262297,780
0.17626584,0.9223046,790
0.16685961,0.9324791,800
0.19789305,0.9102152,810
0.16714646,0.9229448,820
0.18555297,0.9216397,830
0.17155804,0.92151284,840
0.15404339,0.9326761,850
0.20459269,0.907083,860
0.15565489,0.93328077,870
0.19218794,0.914636,880
0.17625977,0.924938,890
0.17202358,0.92308617,900
0.18838073,0.91519606,910
0.1753875,0.92217374,920
0.15956236,0.9287857,930
0.19422193,0.9123068,940
0.15868688,0.9289407,950
0.14937124,0.94064784,960
0.15025157,0.9330961,970
0.1531148,0.93369406,980
0.1279968,0.9468008,990
0.1370604,0.93902665,1000
0.14142746,0.9390116,1010
0.15251157,0.9311194,1020
0.13510019,0.94400424,1030
0.13174227,0.94086844,1040
0.13839462,0.93774086,1050
0.13287535,0.9422377,1060
0.15474959,0.92861944,1070
0.13243163,0.9393332,1080
0.15933785,0.9300575,1090
0.1401625,0.9406872,1100
0.10393655,0.9557127,1110
0.1269833,0.9458573,1120
0.1686354,0.9239084,1130
0.1280613,0.9443769,1140
0.11924661,0.9498512,1150
0.1263266,0.94314325,1160
0.14007372,0.9404101,1170
0.12989864,0.9438667,1180
0.15689299,0.928681,1190
0.13816296,0.93988854,1200
0.16163707,0.9278621,1210
0.1414767,0.93909013,1220
0.1378705,0.9380161,1230
0.17755876,0.9160683,1240
0.18038358,0.91880685,1250
0.1566355,0.92746013,1260
0.15483871,0.9276137,1270
0.14457923,0.934222,1280
0.15971267,0.92685896,1290
0.16644977,0.92058676,1300
0.1644889,0.9228878,1310
0.15499091,0.929346,1320
0.16752297,0.92627543,1330
0.16412403,0.9233999,1340
0.15459229,0.93024504,1350
0.172905,0.92076594,1360
0.13650952,0.9384817,1370
0.14615056,0.93056357,1380
0.15588404,0.9289086,1390
0.13410556,0.93689436,1400
0.1621679,0.92494357,1410
0.16041785,0.9270893,1420
0.16558142,0.9236401,1430
0.15448429,0.93054986,1440
