Loss,Accuracy,Batch
0.51200336,0.819935,5
0.41203973,0.82252246,10
0.39660534,0.81952596,15
0.36329666,0.8390341,20
0.42715278,0.7837894,25
0.3997202,0.7955628,30
0.39253068,0.78982425,35
0.3313689,0.8439161,40
0.31857106,0.8442526,45
0.31118032,0.8443678,50
0.30028385,0.85133815,55
0.29696125,0.8546069,60
0.28654978,0.86910266,65
0.2998848,0.8631728,70
0.31528404,0.86609465,75
0.30370125,0.87337404,80
0.2901127,0.8860956,85
0.30432615,0.8911531,90
0.29761627,0.88981026,95
0.26926512,0.9037172,100
0.21190973,0.9293532,105
0.20989299,0.9332456,110
0.19661306,0.9365522,115
0.20103878,0.93213344,120
0.20648552,0.9278145,125
0.19913034,0.9333436,130
0.19871569,0.9316394,135
0.19478409,0.92720824,140
0.19717711,0.92635536,145
0.20301603,0.9238152,150
0.2012211,0.9306,155
0.20554745,0.92947525,160
0.20195197,0.9305012,165
0.18122415,0.93843985,170
0.16619173,0.944016,175
0.17508543,0.94071084,180
0.19375706,0.92715484,185
0.18925603,0.9225848,190
0.21209632,0.91424257,195
0.18065153,0.9277782,200
0.16691153,0.93243486,205
0.16266541,0.9320841,210
0.16254808,0.93491155,215
0.20150828,0.9240741,220
0.17884755,0.9316058,225
0.18121631,0.93034667,230
0.18632571,0.9318792,235
0.19448404,0.9310832,240
0.18692066,0.9324022,245
0.1805719,0.93239164,250
0.16576588,0.9386809,255
0.16947557,0.9348642,260
0.16685909,0.93016666,265
0.15904845,0.93134737,270
0.16026062,0.9330085,275
0.1476183,0.9385176,280
0.15442546,0.9394446,285
0.15542756,0.94428414,290
0.14873022,0.94666123,295
0.15023355,0.9445627,300
0.16284382,0.93852377,305
0.14586748,0.94534796,310
0.14965694,0.94331855,315
0.19323939,0.92191195,320
0.20368005,0.91759807,325
0.20661879,0.9167935,330
0.184981,0.92363757,335
0.18669786,0.9238165,340
0.17148219,0.9319425,345
0.16035214,0.9377339,350
0.15134934,0.9405837,355
0.14263786,0.94385284,360
0.15003659,0.93982154,365
0.1602395,0.9392744,370
0.16759236,0.9356306,375
0.16252843,0.93742853,380
0.17386563,0.9328656,385
0.17719674,0.9321173,390
0.18090183,0.9304013,395
0.1610464,0.9355316,400
0.16247304,0.9294916,405
0.16133107,0.93339473,410
0.17280401,0.9254605,415
0.17226239,0.92632324,420
0.1783979,0.9235181,425
0.17079799,0.92792124,430
0.14078678,0.94737667,435
0.14688188,0.94388264,440
0.14696649,0.9433387,445
0.13111071,0.94559956,450
0.13810773,0.9443676,455
0.13816871,0.9415484,460
