Loss,Accuracy,Batch
0.6961174,0.51092786,5
0.66168255,0.81840223,10
0.6225311,0.82686037,15
0.58537114,0.8275396,20
0.5512117,0.83435756,25
0.53316057,0.8239588,30
0.5228228,0.8141935,35
0.5156755,0.8091414,40
0.50336486,0.8136308,45
0.48470056,0.82617694,50
0.4470917,0.85609394,55
0.44157243,0.85534173,60
0.4380354,0.8536994,65
0.4280254,0.85822487,70
0.4518758,0.837261,75
0.43890575,0.8454411,80
0.46843717,0.82305115,85
0.4847879,0.81109697,90
0.49085414,0.80682653,95
0.49390987,0.8046797,100
0.4800669,0.8142905,105
0.46963683,0.82148916,110
0.4759798,0.8170914,115
0.5390113,0.7737069,120
0.4907298,0.80690795,125
0.5123431,0.7919066,130
0.4575716,0.83000356,135
0.42677677,0.8513439,140
0.42303565,0.8535318,145
0.45912358,0.8285332,150
0.46234062,0.8261676,155
0.49598587,0.8035696,160
0.46256718,0.825938,165
0.4561065,0.83024794,170
0.44735393,0.8359743,175
0.45556858,0.8304717,180
0.49911675,0.80179805,185
0.50059456,0.80079556,190
0.4803922,0.8140733,195
0.52238584,0.7861622,200
0.5125469,0.7925203,205
0.5219099,0.78603834,210
0.50003797,0.8006286,215
0.47586504,0.81713796,220
0.47979334,0.8144345,225
0.45602128,0.83079475,230
0.44506454,0.8382661,235
0.49103066,0.80676,240
0.48626244,0.8100087,245
0.482353,0.81266695,250
0.41925237,0.85546017,255
0.42914215,0.84850335,260
0.43363962,0.84515953,265
0.4702071,0.8208366,270
0.4840587,0.8116934,275
0.48223174,0.81290776,280
0.48817435,0.8089964,285
0.51804304,0.7893085,290
0.52858084,0.7820794,295
0.4851818,0.81085557,300
0.4446255,0.8380973,305
0.43585777,0.84396887,310
0.43546486,0.8441003,315
0.51863486,0.7886308,320
0.5168024,0.78980786,325
0.51336926,0.79194933,330
0.48958063,0.8078039,335
0.48413113,0.81145376,340
0.4969158,0.80276823,345
0.49592233,0.8033944,350
0.50030065,0.8003736,355
0.4906144,0.80698985,360
0.46533513,0.8244147,365
0.42041454,0.8552981,370
0.4138192,0.8593941,375
0.4306953,0.8474627,380
0.47148934,0.819954,385
0.48391798,0.8117351,390
0.4665413,0.8232035,395
0.45869282,0.828365,400
0.44547987,0.8370109,405
0.45579687,0.830213,410
0.46367303,0.82505363,415
0.4612495,0.82662344,420
0.46258938,0.8257556,425
0.4491522,0.8344438,430
0.4563661,0.8297593,435
0.45504978,0.830602,440
0.46723995,0.82275254,445
0.47418627,0.8182833,450
0.47173223,0.81985325,455
0.46574637,0.8237025,460
