Loss,Accuracy,Recall,Precision,F1-Score,Batch
0.93056923,0.71675557,0.56294984,0.74134034,0.639533,5
0.86047983,0.7512403,0.6397888,0.7644401,0.69645387,10
0.84168774,0.7413519,0.6805887,0.7500331,0.71357626,15
0.8615451,0.73857164,0.6754842,0.7412162,0.7066893,20
0.86911136,0.7252519,0.6797164,0.7315677,0.70466155,25
0.8273485,0.7411809,0.6925977,0.74644405,0.71846765,30
0.8370571,0.7343087,0.68880016,0.741297,0.7140457,35
0.8447418,0.72495013,0.68115526,0.7323873,0.7058117,40
0.79067045,0.749219,0.702668,0.7599623,0.73008364,45
0.8045257,0.7363615,0.69239074,0.74663854,0.7183748,50
0.72948533,0.7683254,0.7254701,0.78478473,0.7539325,55
0.7772768,0.7497838,0.70089626,0.75792474,0.72819,60
0.74679327,0.7517685,0.7149701,0.76596785,0.7395769,65
0.7720478,0.752136,0.7096143,0.76052743,0.734093,70
0.77731913,0.73135763,0.68656236,0.74827534,0.7158533,75
0.75533456,0.7444832,0.7034847,0.76635647,0.73348635,80
0.7317662,0.74531555,0.7040079,0.7775896,0.73892283,85
0.68598294,0.7673609,0.7275824,0.7931977,0.7588494,90
0.717484,0.7437814,0.7026808,0.7768338,0.7378314,95
0.73800915,0.74292517,0.6913896,0.77347654,0.7300051,100
0.7229929,0.729019,0.66983575,0.8013076,0.72940016,105
0.6940635,0.7470653,0.6887948,0.8177748,0.7476453,110
0.8158075,0.6777208,0.6217038,0.7645242,0.6856933,115
0.70293576,0.7264957,0.6526976,0.839267,0.73394275,120
0.6649433,0.74402887,0.68625027,0.84797794,0.7585597,125
0.6668022,0.7370682,0.6828685,0.8411338,0.7533503,130
0.6703119,0.73226184,0.67780656,0.8483048,0.75330395,135
0.6196663,0.76178116,0.6967738,0.8717561,0.7741411,140
0.6702313,0.7246682,0.65567404,0.8648389,0.7454667,145
0.6316241,0.7502182,0.68339974,0.8760182,0.767313,150
0.6240407,0.74546456,0.68138266,0.8814566,0.7683118,155
0.57409453,0.773602,0.7042596,0.9005762,0.7900477,160
0.6651695,0.713311,0.6481418,0.86771005,0.74186796,165
0.5731241,0.7702732,0.68520993,0.9127297,0.7821323,170
0.72031385,0.68417376,0.5861908,0.8883931,0.70533824,175
0.57979006,0.7699015,0.68268305,0.9095432,0.77966475,180
0.5692807,0.76772195,0.695519,0.8988042,0.7832732,185
0.60758054,0.7518657,0.64591646,0.9148164,0.7563295,190
0.5988992,0.7620147,0.6715923,0.90322375,0.7700357,195
0.61343807,0.75104445,0.6523271,0.91657233,0.76174694,200
0.6044973,0.7700927,0.6635556,0.89918023,0.76325434,205
0.6392497,0.74316806,0.63510996,0.9052724,0.74572086,210
0.58427596,0.7684202,0.661248,0.92339987,0.76976585,215
0.65483385,0.73796314,0.6190706,0.8988082,0.7322661,220
0.5496376,0.7769849,0.6813567,0.9267483,0.7847393,225
0.5750628,0.76648754,0.6672297,0.9218328,0.77313703,230
0.58081174,0.7685752,0.65998775,0.9223447,0.7686394,235
0.570314,0.768009,0.65783674,0.9286499,0.7699277,240
0.6158127,0.75278085,0.63365394,0.91816086,0.7492378,245
0.5638347,0.77734804,0.6697263,0.9223974,0.7753913,250
0.5851046,0.75905555,0.6525582,0.92315227,0.7643419,255
0.5288845,0.79559845,0.69787484,0.92148453,0.79276985,260
0.5445073,0.7829273,0.6716394,0.9386266,0.7822979,265
0.5918349,0.7571154,0.6470147,0.9163008,0.75767034,270
0.58266073,0.76550096,0.6460296,0.9227178,0.7565317,275
0.5420891,0.7797058,0.682455,0.92811966,0.7861915,280
0.5936169,0.762953,0.64637274,0.9249883,0.76024055,285
0.5660178,0.7758694,0.66473985,0.92340183,0.77260894,290
0.59137094,0.75864434,0.63601434,0.93108624,0.7547972,295
0.58620924,0.7525508,0.64192563,0.9303325,0.75863147,300
0.5643917,0.77179796,0.66470546,0.9272577,0.7721891,305
0.59561723,0.76597184,0.63201404,0.93151975,0.7527468,310
0.5154077,0.79008013,0.70431685,0.9260793,0.7993695,315
0.5591446,0.7722287,0.6615961,0.9327535,0.77262306,320
0.55024946,0.783001,0.6649042,0.93111485,0.7754655,325
0.56404716,0.7666807,0.67479753,0.9166257,0.7763982,330
0.5338045,0.7866771,0.66911983,0.94245225,0.7818451,335
0.5399053,0.7768898,0.6845278,0.9224026,0.7848596,340
0.53697544,0.77639455,0.66968006,0.9355127,0.78000563,345
0.5254706,0.78659177,0.68607616,0.9373322,0.7917629,350
0.5228922,0.77945423,0.6900854,0.93532616,0.7937165,355
0.55961704,0.7724094,0.66050786,0.9327132,0.7719496,360
0.5054611,0.79503196,0.69549686,0.935612,0.797688,365
0.5290626,0.7868543,0.66944903,0.9418196,0.78226644,370
0.565733,0.76877785,0.6639757,0.9239309,0.77179146,375
0.5819121,0.7620878,0.6394393,0.93192,0.757689,380
0.56500703,0.76708055,0.65983975,0.9342142,0.77277374,385
0.5443141,0.7838642,0.6734403,0.92698246,0.77937037,390
0.5262127,0.790648,0.6726353,0.94491625,0.78547126,395
0.5604721,0.7690696,0.6687048,0.92238355,0.7741266,400
0.50009775,0.7984598,0.6917355,0.9506314,0.8000109,405
0.5250332,0.7826659,0.6816819,0.9321014,0.7859275,410
0.5070399,0.7933257,0.6941704,0.9358509,0.7968133,415
0.55622834,0.7672124,0.64696413,0.9465919,0.7676714,420
0.56168,0.7703878,0.6635931,0.92319185,0.77156574,425
0.46586898,0.81682235,0.7085616,0.9502382,0.8111436,430
0.54082054,0.78219414,0.673565,0.9316705,0.7815394,435
0.49079585,0.8007372,0.6986022,0.94563866,0.80256635,440
0.5191558,0.78623444,0.69329375,0.9278546,0.7929513,445
0.53768516,0.78235036,0.66327477,0.9428827,0.7774785,450
0.54922414,0.76712877,0.65739626,0.9359583,0.77109486,455
0.48142672,0.80058813,0.7093615,0.9440921,0.80992645,460
0.49202523,0.7962656,0.7030391,0.9412458,0.8034206,465
0.50714976,0.7906626,0.6851267,0.94631815,0.7946834,470
0.5254628,0.7873854,0.67541236,0.9379501,0.784808,475
0.52270854,0.7868369,0.6703256,0.9416967,0.7821622,480
0.48665032,0.8043499,0.70208114,0.94841284,0.8059234,485
0.48152837,0.81124383,0.711066,0.94220376,0.8102982,490
0.47393918,0.81271213,0.7064972,0.94270253,0.80679196,495
0.46601376,0.8108778,0.70239353,0.95331186,0.80745435,500
0.43060362,0.83428174,0.7489703,0.9446719,0.8343694,505
0.4823841,0.81112283,0.7075226,0.93987685,0.8065081,510
0.46541986,0.8123894,0.7103377,0.9526038,0.8124079,515
0.50148433,0.79428554,0.70255417,0.9394455,0.8033268,520
0.43336824,0.8236332,0.73760337,0.9481091,0.82855344,525
0.49705303,0.7974529,0.6868565,0.9468122,0.79460096,530
0.47291484,0.8112276,0.71807164,0.93698317,0.8119237,535
0.48712277,0.8001129,0.69391114,0.9500463,0.8011701,540
0.48659098,0.80159426,0.6857266,0.95296127,0.79574925,545
0.4354243,0.8215747,0.738689,0.94566274,0.82884663,550
0.44199347,0.82697845,0.732512,0.94477224,0.8249655,555
0.49751458,0.8083682,0.68712586,0.9479248,0.7960661,560
0.4958155,0.7994554,0.6979591,0.93819356,0.79970294,565
0.488124,0.80078846,0.6958137,0.9469188,0.8014799,570
0.44850853,0.8189575,0.7200206,0.9520088,0.81960994,575
0.496102,0.8068471,0.686678,0.9452767,0.7946698,580
0.47487977,0.8095315,0.71572256,0.9401342,0.8118871,585
0.46481836,0.8122098,0.70548564,0.951842,0.81002706,590
0.50229186,0.78901243,0.68791145,0.93670243,0.79096633,595
0.5330108,0.7849777,0.6654213,0.940872,0.77846867,600
0.43906382,0.8232985,0.7274471,0.95625544,0.8254402,605
0.41260716,0.8389878,0.75125664,0.9440219,0.8363528,610
0.50234675,0.79727197,0.6826263,0.9451642,0.79119974,615
0.49022746,0.79343957,0.6968903,0.9404066,0.7998732,620
0.44379413,0.8217721,0.7168487,0.9541277,0.8178757,625
0.4730635,0.80516523,0.7080899,0.9424896,0.80845505,630
0.4701897,0.8134162,0.69983006,0.952287,0.8059247,635
0.49613747,0.80125684,0.68500733,0.9420095,0.7922115,640
0.44391295,0.82118416,0.7203278,0.95323616,0.8200454,645
0.433383,0.8298276,0.7332456,0.94631976,0.825813,650
0.4855045,0.80202824,0.6899359,0.94896835,0.79703397,655
0.43205842,0.8282762,0.7409875,0.945533,0.82978255,660
0.49775863,0.7971945,0.68463635,0.9463424,0.79406947,665
0.44780478,0.82443887,0.7235376,0.95032173,0.8202532,670
0.4674088,0.8126454,0.7106853,0.9436967,0.810324,675
0.41217598,0.8408172,0.7513547,0.9531841,0.8396446,680
0.4266294,0.83427644,0.73834735,0.94988793,0.8306527,685
0.4841269,0.8080377,0.6912758,0.94205207,0.79692006,690
0.464501,0.8150935,0.70232725,0.9497064,0.8064707,695
0.4915607,0.8069027,0.6909683,0.93881536,0.79565173,700
0.4681882,0.81357414,0.6999018,0.94968176,0.80509806,705
0.46642563,0.80707526,0.6997929,0.953352,0.80661744,710
0.5022722,0.8010137,0.6786491,0.94192886,0.7886052,715
0.47460198,0.8094128,0.69475627,0.9493425,0.8017304,720
0.41464958,0.82730216,0.74570054,0.9489303,0.8344049,725
0.44388554,0.8240115,0.71923304,0.9514398,0.81800455,730
0.48271802,0.80421305,0.6937042,0.9447568,0.7986946,735
0.48836914,0.80677027,0.6932036,0.9457819,0.79959744,740
0.4415319,0.81766635,0.72167087,0.9530291,0.8209134,745
0.48576304,0.80298537,0.6924675,0.93758225,0.7955954,750
0.49052587,0.80271775,0.6882529,0.94796354,0.79705507,755
0.4714805,0.8150575,0.7016892,0.9464175,0.8055137,760
0.50024587,0.80120856,0.67899626,0.94048196,0.7873457,765
0.4671153,0.81332636,0.7039657,0.94825935,0.8073836,770
0.5227029,0.7860144,0.65884095,0.9409419,0.7738519,775
0.45294693,0.8265887,0.71036524,0.9449037,0.81030655,780
0.42860183,0.8331706,0.7342997,0.9483544,0.8266809,785
0.4656006,0.81055975,0.70918393,0.94660074,0.8102946,790
0.40262404,0.8381419,0.7533558,0.955612,0.8422331,795
0.4036626,0.83844775,0.7626469,0.9451854,0.84407973,800
0.4822431,0.80260295,0.6882,0.94922924,0.7963805,805
0.45260194,0.8205889,0.71844894,0.94134045,0.8138954,810
0.44605005,0.8216874,0.7209924,0.94892716,0.8191295,815
0.45483622,0.82170063,0.7245198,0.93711644,0.8168388,820
0.42855477,0.8294013,0.7283918,0.95279926,0.82520145,825
0.43537173,0.8237279,0.7254915,0.9436093,0.8197737,830
0.46107647,0.8102737,0.71497726,0.93911415,0.8114398,835
0.49787176,0.7920701,0.6817116,0.94388646,0.79104406,840
0.43424252,0.8223955,0.7405774,0.9399398,0.827825,845
0.43511924,0.829998,0.7257467,0.9511049,0.82311743,850
0.43772832,0.8279753,0.7368185,0.93647844,0.8242697,855
0.45565334,0.81512594,0.7074838,0.9540472,0.8120728,860
0.44391012,0.8241666,0.7251156,0.93934226,0.8177097,865
0.52539426,0.7929817,0.65277076,0.94566256,0.7716525,870
0.42878452,0.83045536,0.7363501,0.9497536,0.8292355,875
0.44968152,0.8328605,0.7186647,0.9410539,0.8138198,880
0.47132805,0.81124717,0.7056752,0.9434193,0.8069621,885
0.44990137,0.82903916,0.72285527,0.94089574,0.8170287,890
0.44726804,0.8222503,0.7320412,0.94163364,0.8229053,895
0.430167,0.82714653,0.7298996,0.94502705,0.82332516,900
0.45621458,0.816773,0.7134338,0.94487864,0.81211877,905
0.45672777,0.8163678,0.7133276,0.9433248,0.8116171,910
0.48961958,0.8025627,0.6969595,0.9363591,0.7986362,915
0.4297794,0.830134,0.7277713,0.9481258,0.8219804,920
0.539375,0.7898769,0.64012337,0.94174045,0.76130104,925
0.48204336,0.8136403,0.6982047,0.93935204,0.8004091,930
0.50944513,0.79845095,0.68015295,0.93490654,0.785353,935
0.51910216,0.7915747,0.6763193,0.9293499,0.7822578,940
0.4842598,0.80966115,0.6936257,0.9403257,0.7978303,945
0.4625462,0.8092799,0.709799,0.94410866,0.8095534,950
0.45679048,0.8228862,0.71331733,0.9370119,0.8095105,955
0.49750555,0.80314904,0.68825823,0.9341902,0.7921693,960
0.44596043,0.82891804,0.71711344,0.9405291,0.8134005,965
0.48052287,0.812514,0.70439005,0.9335232,0.80245656,970
0.47870085,0.81086594,0.69652885,0.9431195,0.80105734,975
0.49888626,0.8029378,0.68229914,0.9349142,0.7881179,980
0.4350669,0.8263054,0.72030884,0.946393,0.81738967,985
0.4756373,0.80470306,0.7059319,0.93646556,0.8047385,990
0.5006542,0.79751325,0.6799572,0.93513775,0.78693914,995
0.45213613,0.8263374,0.7070133,0.94302845,0.807489,1000
0.47395158,0.81778735,0.70160216,0.9410077,0.8036869,1005
0.49163985,0.80231947,0.68617994,0.9364414,0.7917598,1010
0.48607048,0.8021129,0.68753964,0.94179565,0.7937253,1015
0.49242988,0.8027821,0.69139177,0.9346648,0.79461926,1020
0.46958217,0.81639916,0.69514495,0.9448592,0.8000776,1025
0.5422193,0.784404,0.6514387,0.929523,0.7655795,1030
0.5294201,0.7828689,0.6503251,0.9320405,0.7648146,1035
0.4534527,0.828398,0.71223974,0.9394035,0.8096548,1040
0.45151243,0.8201335,0.71145153,0.94022655,0.8089469,1045
0.46721482,0.81516474,0.7025959,0.9381325,0.8031344,1050
0.4541585,0.8234883,0.7093865,0.94437665,0.8098108,1055
0.49953088,0.8022713,0.6927021,0.92462665,0.7916496,1060
0.49998704,0.8079927,0.68265516,0.9393775,0.7887025,1065
0.5112439,0.796854,0.6783326,0.93026704,0.7844538,1070
0.49214634,0.8027155,0.6949828,0.93117124,0.79420257,1075
0.45942912,0.8216761,0.71580243,0.93080336,0.8090201,1080
0.4804802,0.81278974,0.6948876,0.9348669,0.7965413,1085
0.46873274,0.81611395,0.71406466,0.9316471,0.8081753,1090
0.50140995,0.80506873,0.6692946,0.941842,0.78145736,1095
0.48513973,0.8107372,0.69343203,0.9356378,0.7955567,1100
0.4951037,0.8038586,0.6820548,0.93315315,0.78729606,1105
0.4716748,0.8136248,0.702565,0.93562967,0.8019555,1110
0.43399718,0.8280387,0.72666997,0.9438551,0.8208065,1115
0.51645327,0.79685545,0.676033,0.926707,0.78148884,1120
0.47925055,0.81435794,0.6990268,0.9347987,0.7992711,1125
0.5171634,0.78950506,0.67524815,0.926316,0.7808471,1130
0.47735253,0.8114515,0.7005624,0.93656236,0.8011704,1135
0.49032497,0.800693,0.697795,0.9309647,0.7972574,1140
0.46894288,0.8177689,0.7066586,0.9376237,0.8053551,1145
0.43670353,0.8250434,0.73509127,0.93574905,0.8229162,1150
0.53213257,0.7879365,0.6539972,0.93147373,0.7673872,1155
0.4048339,0.84257466,0.75440335,0.9443328,0.8377523,1160
0.5167978,0.79494953,0.67609566,0.92163354,0.77936554,1165
0.47691342,0.80934936,0.7043093,0.929842,0.80101484,1170
0.4743652,0.8045001,0.71144134,0.93061066,0.8059585,1175
0.5064037,0.79382014,0.6759355,0.9330271,0.7832601,1180
