Loss,Accuracy,Recall,Precision,F1-Score,Batch
0.38958815,0.8466366,0.79206985,0.9076436,0.8458612,5
0.40641475,0.83862895,0.78129953,0.89498144,0.83421755,10
0.38431993,0.8512276,0.7941274,0.90704346,0.84678537,15
0.33180323,0.87146705,0.82354563,0.91893536,0.8685964,20
0.3546903,0.8614628,0.8122311,0.91134673,0.858877,25
0.3362558,0.87131363,0.82418555,0.91757804,0.86828214,30
0.38048217,0.8526311,0.7981706,0.9055181,0.848434,35
0.36522207,0.85999376,0.8102837,0.91240615,0.85823077,40
0.3646008,0.8561168,0.8053842,0.9093747,0.8540063,45
0.36070696,0.85719305,0.810772,0.90569776,0.8555142,50
0.3998526,0.84552264,0.7907562,0.900326,0.8416982,55
0.38262868,0.8532881,0.8033232,0.9054864,0.8512842,60
0.35060835,0.86563486,0.8157852,0.9151011,0.86252576,65
0.41377473,0.83643085,0.780595,0.8941667,0.83340484,70
0.39639115,0.8498003,0.7908843,0.90479755,0.84393114,75
0.3611517,0.86199594,0.8074758,0.9122172,0.8565442,80
0.36060253,0.8564444,0.8067334,0.9035769,0.85236365,85
0.35583845,0.8609958,0.80856544,0.91823155,0.8598485,90
0.36786735,0.8612976,0.8055234,0.9094916,0.85428506,95
0.38177457,0.85356337,0.797313,0.9109474,0.8502436,100
0.39864382,0.839376,0.78234583,0.90099734,0.8373261,105
0.3637271,0.8540476,0.80244523,0.909825,0.85260963,110
0.36404648,0.85514563,0.8042353,0.9077697,0.8528166,115
0.34041002,0.87109,0.8160484,0.9192145,0.86453444,120
0.3631607,0.8609156,0.8106099,0.91196465,0.85823345,125
0.37251505,0.8596993,0.80685157,0.90806276,0.8543789,130
0.40618575,0.84195906,0.7838661,0.9004379,0.8380557,135
0.38276592,0.85083026,0.7958345,0.907105,0.8476812,140
0.4007151,0.84222955,0.7891958,0.899875,0.84080905,145
0.3607569,0.858908,0.80393654,0.9120769,0.85450035,150
0.37855622,0.85241383,0.7981427,0.908119,0.849297,155
0.3771387,0.8539509,0.7971204,0.9074776,0.84859747,160
0.3281156,0.8732004,0.8300366,0.9182808,0.8719218,165
0.3460915,0.86442995,0.8164782,0.9146971,0.86258703,170
0.36928305,0.8556604,0.8063028,0.9110424,0.85523343,175
0.37508503,0.854887,0.7981557,0.9093671,0.85008574,180
0.34358433,0.86634135,0.81405044,0.91511554,0.8615484,185
0.35920438,0.8555436,0.8010116,0.9093435,0.8516224,190
0.33630133,0.8663471,0.81550884,0.91655713,0.8630233,195
0.35439482,0.86281186,0.8146675,0.91200036,0.86051416,200
0.33940676,0.8659523,0.82018566,0.915795,0.86511606,205
0.3309417,0.86879784,0.82708174,0.9157993,0.8691291,210
0.3386549,0.86772156,0.81856245,0.9137373,0.86342716,215
0.39799008,0.8470726,0.79095966,0.8996036,0.8417161,220
0.36251497,0.85928917,0.8044742,0.91202116,0.8546581,225
0.32736823,0.8731893,0.82522005,0.922271,0.8709557,230
0.38250938,0.85164165,0.7943487,0.9116158,0.8486133,235
0.34233782,0.86891943,0.8220577,0.91736746,0.86699265,240
0.37240633,0.8570566,0.8078049,0.91080254,0.8561687,245
0.3869537,0.8477361,0.79633355,0.89946073,0.8445881,250
0.36556378,0.8617925,0.80339295,0.91462046,0.8553383,255
0.34169236,0.86865884,0.8165199,0.9225524,0.86625594,260
0.35440278,0.8602192,0.81314105,0.90918064,0.85841364,265
0.3439556,0.8674914,0.8183389,0.9165992,0.86464787,270
0.35922167,0.86015034,0.8108926,0.91292757,0.85884184,275
0.3670812,0.8567336,0.80007964,0.91014284,0.85144955,280
0.36115396,0.8612377,0.8104725,0.9136846,0.8589756,285
0.35034898,0.86721706,0.8168724,0.91747683,0.864201,290
0.382714,0.8517797,0.8004634,0.9065928,0.85013217,295
0.36144853,0.85621476,0.80798167,0.90670985,0.8544982,300
0.35899922,0.8636481,0.8143112,0.9121348,0.8603901,305
0.38666975,0.84802824,0.789829,0.9071684,0.8444018,310
0.3933638,0.84325266,0.7867549,0.90044427,0.83969426,315
0.335361,0.86650944,0.81843185,0.9157238,0.86426425,320
0.3277122,0.8753202,0.8280185,0.9224276,0.87254214,325
0.3443087,0.86628777,0.8155243,0.9160502,0.8627569,330
0.3571601,0.862617,0.81004477,0.91201395,0.85796404,335
0.30512384,0.88238317,0.83333117,0.93168306,0.8796885,340
0.35641274,0.85732436,0.80808157,0.9108576,0.85634345,345
0.36743963,0.8565671,0.8044574,0.9111751,0.8544404,350
0.36611104,0.858639,0.8052912,0.9088623,0.8538692,355
0.38729966,0.8536988,0.80734783,0.9058706,0.85373515,360
0.31768417,0.87799674,0.8356347,0.92227834,0.87674075,365
0.39573184,0.84222347,0.792784,0.90062875,0.84305334,370
0.32525292,0.8747886,0.8258252,0.9210022,0.87067604,375
0.35562137,0.86264163,0.81568956,0.91294366,0.8614468,380
0.38465235,0.8466158,0.793437,0.9048298,0.8453899,385
0.35622576,0.8604918,0.811795,0.9121868,0.8589411,390
0.32804394,0.8727363,0.83133745,0.9163938,0.8716888,395
0.3925047,0.84252375,0.7830286,0.90197283,0.8381431,400
0.3919859,0.84974426,0.798089,0.8993388,0.84561735,405
0.31844932,0.8727491,0.8236699,0.9255062,0.87146944,410
0.36355272,0.8562997,0.8025691,0.9091212,0.85247177,415
0.3147125,0.8777655,0.82709676,0.9275065,0.87439686,420
0.3773264,0.852278,0.8025945,0.90316075,0.8498103,425
0.3606889,0.8530877,0.79685026,0.9123781,0.85065097,430
0.37540746,0.8540173,0.8011215,0.9046032,0.84969074,435
0.37579563,0.8529876,0.7966283,0.91005236,0.84946656,440
0.3580462,0.8629964,0.8164232,0.91005486,0.860529,445
0.35171175,0.86417246,0.81624556,0.9131181,0.86192364,450
0.414165,0.840398,0.78182936,0.89861536,0.835869,455
0.36553597,0.85786104,0.8063061,0.91276795,0.8562228,460
0.41204798,0.8339477,0.77936023,0.8929283,0.8321646,465
0.41842017,0.833894,0.7756656,0.8969245,0.83185816,470
0.38920116,0.84309226,0.78747076,0.90224123,0.8408528,475
0.41692767,0.83618766,0.78003424,0.89722425,0.8344874,480
0.42490086,0.83167505,0.778214,0.89144343,0.8309021,485
0.3866724,0.850907,0.79705596,0.9062705,0.8480336,490
0.3864447,0.85055786,0.80493885,0.9046957,0.85187775,495
