Loss,Accuracy,Recall,Precision,F1-Score,Batch
0.63104826,0.7782123,0.77819616,0.7782088,0.7782025,5
0.5830185,0.78270555,0.78270555,0.78270555,0.78270555,10
0.49239656,0.7842036,0.7842036,0.7842036,0.7842036,15
0.43663156,0.80620056,0.80620056,0.80620056,0.80620056,20
0.3939217,0.82428265,0.82428265,0.82428265,0.82428265,25
0.37904266,0.8116038,0.8116038,0.8116038,0.8116038,30
0.34558836,0.841399,0.841399,0.841399,0.841399,35
0.30981737,0.86681867,0.86681867,0.86681867,0.86681867,40
0.3316643,0.848201,0.848201,0.848201,0.848201,45
0.3298949,0.84854746,0.84854746,0.84854746,0.8485474,50
0.33889595,0.819315,0.819315,0.819315,0.819315,55
0.33238268,0.8256689,0.8256689,0.8256689,0.8256689,60
0.3417798,0.8117321,0.8117321,0.8117321,0.8117321,65
0.30373564,0.84536105,0.84536105,0.84536105,0.84536105,70
0.30969784,0.8366268,0.8366268,0.8366268,0.8366268,75
0.30347362,0.8473387,0.8473387,0.8473387,0.8473387,80
0.29305747,0.85589343,0.85589343,0.85589343,0.85589343,85
0.3443304,0.80447507,0.80447507,0.80447507,0.80447507,90
0.3304975,0.81541973,0.81541973,0.81541973,0.81541973,95
0.33292633,0.8097696,0.8097696,0.8097696,0.8097696,100
0.2901152,0.85302144,0.85302144,0.85302144,0.85302144,105
0.2873721,0.847451,0.847451,0.847451,0.847451,110
0.2849207,0.8508532,0.8508532,0.8508532,0.8508532,115
0.29286104,0.8304146,0.8304146,0.8304146,0.8304146,120
0.2878698,0.8254903,0.8254903,0.8254903,0.8254903,125
0.27952632,0.83205694,0.83205694,0.83205694,0.83205694,130
0.275511,0.83411866,0.83411866,0.83411866,0.83411866,135
0.2765101,0.8320119,0.8320119,0.8320119,0.8320119,140
0.28063574,0.84218645,0.84218645,0.84218645,0.8421865,145
0.29999658,0.82098085,0.82098085,0.8209813,0.8209811,150
0.32897896,0.8321739,0.8321738,0.83217424,0.832174,155
0.31410876,0.8529637,0.85296345,0.85296375,0.8529637,160
0.31580937,0.85298276,0.8529827,0.8529828,0.85298276,165
0.28049797,0.8800242,0.8800242,0.8800242,0.8800242,170
0.28186142,0.87262374,0.87262374,0.8726239,0.87262386,175
0.27099553,0.8863749,0.8863748,0.88637495,0.88637495,180
0.26903617,0.8839829,0.8839829,0.88398296,0.8839829,185
0.28190365,0.88345796,0.8834579,0.8834581,0.8834579,190
0.27396134,0.89061475,0.89061475,0.8906148,0.89061475,195
0.26601684,0.89336157,0.89336157,0.8933616,0.8933616,200
0.259742,0.8981945,0.8981945,0.8981945,0.8981945,205
0.2538933,0.90108436,0.90108436,0.90108436,0.90108436,210
0.24588667,0.90689963,0.90689963,0.9068997,0.90689963,215
0.23095608,0.9070299,0.9070299,0.9070299,0.9070299,220
0.22991638,0.9069223,0.9069223,0.9069223,0.9069223,225
0.23422395,0.90571433,0.90571433,0.90571433,0.90571433,230
0.240853,0.90185994,0.90185994,0.90186,0.90186,235
0.24588515,0.8996931,0.899693,0.8996931,0.899693,240
0.2269022,0.9121811,0.91218096,0.9121811,0.9121811,245
0.22514915,0.9120662,0.9120662,0.9120663,0.9120663,250
0.19304603,0.9303918,0.9303917,0.9303918,0.9303917,255
0.1865433,0.9297703,0.9297703,0.9297703,0.9297703,260
0.20219679,0.9258869,0.9258869,0.9258869,0.9258869,265
0.23097932,0.9165246,0.9165246,0.9165246,0.9165246,270
0.21368378,0.92399234,0.92399234,0.92399234,0.92399234,275
0.22567941,0.91901827,0.9190182,0.91901827,0.9190182,280
